Price,Close,High,Low,Open,Volume,50_DMA,200_DMA,12_EMA,26_EMA,MACD,Signal,RSI
Ticker,META,META,META,META,META,,,,,,,
Date,,,,,,,,,,,,
2024-11-05,571.460205078125,572.5084140245058,565.7099536866323,566.3388912408113,9775400,556.7311169433593,,573.0721598064401,570.9119008352567,2.1602589711834526,5.189379046407113,47.84201725224187
2024-11-06,571.0808715820312,572.0292743628759,554.229463302176,561.7966390012363,18305400,557.7982019042969,,572.7658077719157,570.9244171868696,1.8413905850460424,4.519781354134899,47.59037381236445
2024-11-07,590.6976318359375,593.7923558507847,574.2355767751123,575.9127234281675,14653700,559.3038989257813,,575.5245499356113,572.3890997534672,3.135450182144041,4.242915119736728,56.322162885403806
2024-11-08,588.3416137695312,592.0951926933623,583.5297721190619,590.5378379587844,9415700,560.7337524414063,,577.4964059100605,573.5707674583609,3.9256384516995695,4.179459786129296,55.835401482626544
2024-11-11,582.1820068359375,586.00553531121,575.5333166694651,585.366604942105,10209100,561.9787756347656,,578.2172675909646,574.2086370418851,4.0086305490794985,4.145293938719337,50.48004643341669
2024-11-12,583.8292236328125,598.6440480490492,579.3967433041139,587.5428920783899,16287700,563.4472387695313,,579.0806454435566,574.9212730856575,4.1593723578990875,4.148109622555287,60.14399722924206
2024-11-13,579.0173950195312,584.6478546567904,574.1955606863224,581.6229586734983,10757600,564.799917602539,,579.0709146090912,575.2246895252036,3.846225083887589,4.0877327148217475,55.825689544112464
2024-11-14,576.1821899414062,579.7761276375875,572.0392571340474,576.0224878119504,11053700,566.0137103271485,,578.6264954294473,575.2956154819594,3.330879947487915,3.9363621613549813,51.911979522000635
2024-11-15,553.141357421875,571.6000240070317,550.5657111050427,570.252274465218,17712900,567.0976080322266,,574.705704966744,573.6545593293606,1.0511456373833425,3.3593188565606535,40.001705911949564
2024-11-18,553.4608154296875,558.9514978806496,549.1581194372038,556.0962966980143,14346700,568.0977337646484,,571.4372604225814,572.1587264479033,-0.7214660253218881,2.543161880184145,31.594393669173698
2024-11-19,560.1394653320312,560.4788552047905,549.6671856118743,550.9250607524925,9522400,569.2314324951171,,569.6991381009583,571.2684108096906,-1.569272708732342,1.720674962400848,36.14547091425731
